video_id,slant
1jKS8iWhNZ0,0.90385
1kBQ0qlHz8M,-0.84043
1KFqDlXUfUM,-0.55056
1kRa350L6OE,-0.8323
1L5G8ngxkz0,0.60782
1l8SnX3H-7s,0.45024
1L8z46DVvuc,-0.86667
1lBJVLRX5Us,0.28205
1LdaMIRI2As,-0.78723
1lDjVKMXPMM,-0.75316
1LI9NpSuyr8,0.77966
1lIfbqfoGMo,-0.33482
1LKqTDmMbY8,0.84615
1LWwsMzbJ44,-0.80995
1LX-k5jvsNw,0.18987
1M33NOBb-IM,0.81132
1M6C5WRi3Pw,-1.0
1M6CXhUS-x8,-0.85039
1m7AeSRRTYs,-0.80783
1MNEKoUqj-k,0.87013
1MotptToPpk,-0.57746
1mrxhFmNwng,-0.9433
1muLy5UTkGE,-0.69663
1MWX6X0A85I,-0.82234
1mYrWYSTW28,-0.0303
1NCmRb4iAOA,0.48148
1nI3tWvOTQs,-0.82609
1nMVdBPEQGE,0.51724
1noBAbLa2yQ,-0.40097
1nOl2aCC7LY,-0.84536
1ogtMHH-9iA,0.77966
1oKjbGF0AKs,0.02857
1omEKIBwod8,-0.94444
1orfc7wel70,0.7
1OXGp7oSPtg,0.63218
1OYvuKC6-WQ,-0.63043
1PpRR2ApgxY,-0.17895
1PsxXvsCoUc,0.92889
1q4GBKkIe7I,-0.8
1QCbpafD3Pw,0.90118
1QCKjbPKowY,0.76744
1QeUcfqkUzc,-0.11719
1qgCYtWaC6s,0.79186
1qoeMKA-XBI,-0.18519
1qOnL3oKe3A,0.90099
1qqNs40Ai5w,0.08808
1qZB9GmMMRs,-0.55752
1R5dKwvtjlg,-0.88148
1R6DposXKm0,0.88112
1RDc2opwg0I,-0.54756
1rLPmzdcZ4A,0.0
1RLUYoSDPQQ,-0.92
1ruwVc0t2c0,0.53591
1RvlozZBWZM,0.3
1RyAwZIHo4Y,-0.47826
1rZjB0b36Sw,-0.93443
1sak58M2Og8,-0.74177
1SnUEUNOzlk,-0.53846
1TNqSRtzRTk,-0.86842
1TV6JFxMEcI,-0.57851
1TzTCWfiRew,0.12329
1U5OrT0skY0,0.89369
1U8CuyfcnLs,-0.71059
1u9DsOqHbLc,0.81951
1UnIDL-eHOs,-0.63089
1usxTIDLExs,0.74721
1uSzoXSyeUc,0.54545
1uWM25U5ey0,0.75875
1V0Yoxn9Aa8,-0.87417
1vc5JzoR-pg,0.74648
1VWkiqqXQeI,-0.96429
1vZ3h929GuY,0.74869
1WIE-7x9l3I,-0.96825
1WLnBCT7dqg,0.73913
1WRDwCep25k,0.57386
1WsJrYMazVk,0.22581
1wvrfqi8-Rk,-0.5076
1wXf08-42x4,0.40702
1x0G4NCBTzg,-0.61398
1x0uvoHbCh4,0.30435
1X2aB4Pij5s,0.85079
1xbt0ACMbiA,-0.60055
1XEQ0oC8g68,-0.41641
1XhAvtoHngg,-0.05512
1xHEg6MhjZE,0.91489
1xSRelAMpU0,-1.0
1xx-FvSxZUQ,1.0
1xzDz59IE90,-0.26316
1yAAVNZjouM,-0.78682
1ybg6hd-TUA,-0.51724
1YmlKNMfpDY,-0.92308
1yr5bhlngV0,0.14545
1z7XFxIcJDc,-1.0
1Z9tiSqHzkg,-0.57471
1ZcDYBDiNvY,0.81503
1zCNlZn9CJA,0.85127
1zLnnbRJoUg,-0.98058
1zNr8Pf1QkY,-0.23256
1zOdO8SXhOY,0.0
2-1Xh7KrQlo,-0.82888
2-Be9f7Ovgg,0.83333
2-CCjzULfyQ,0.38863
2-fVOMlPQYI,0.80645
2-lxdZc-LWA,1.0
2-V2arHXwq8,0.76875
2-Xxf787zNw,0.87654
20bVtLGv61Q,0.17143
20caQgCA7dE,0.85227
20hqPnyeKCE,0.90769
20iB09b7Ycc,-0.01669
20v04dMW3P8,0.62547
21Nh3qJTjqA,-0.66667
222IgASUIBw,-0.89796
223LKOfI5Zw,0.86506
229Fi8fOtho,-0.47059
22j9HcEc2Kc,0.87302
22Lr4fgSFAY,0.27715
23GzpbNUyI4,0.13953
23J3yB5Mmjg,-0.62069
23lq7znnQpk,-0.69291
23WNPWVWDDc,0.0
24ejrH7ROds,0.86014
24NsgPwH4Ew,-0.63636
24TQWybpU9g,-0.816
25eDwZ6ECwk,-0.07975
25nD50wqi6g,-0.08696
264jkqisYpc,0.01205
26algFcweT4,-0.82857
26bErpRjA14,-0.97321
26o-pAeu63w,0.93824
26tZJyY6e4Q,-0.93939
26ZOQOJcdCQ,-0.97183
270F8s5TEKY,-0.30769
27kBN3KiGiY,0.93333
27ONmbwnG4I,0.58904
27ZJlH0SybE,-0.57143
28512uOjeRM,-0.64773
28CptiawvVo,0.95
28CWbymxBeA,0.30508
28MIaWKszY8,0.88095
28O7dn1w99A,-0.61279
28pZKRcog3Q,0.86269
29aVDSvign8,0.85102
29dDlGUv6O8,-0.4127
29lTHaMP-Ys,-0.0365
29NwUxdPscM,-1.0
2aA3HaQDm3k,0.82573
2AgPZFiL1mU,-0.53846
2awBjKrDLmA,-0.83479
2aXF-b9gKs4,-0.70815
2B5WmdWGJco,-0.21846
2b7JA8yjjK4,-0.83929
2bhZf2M1YYA,0.90102
2Bm5NWCMlPo,-0.59276
2bouqhjO2IM,-0.82745
2BOWtyXfLoU,0.87054
2bQKba2ejEs,-0.96273
2bsjbmpvI2g,0.59149
2BVaXmqL1kU,0.76744
2C-AVMfVRww,0.85621
2c18hoGZrpA,-0.47619
2C8uk8oGln8,1.0
2ChpaPkjCWo,-0.90055
2ckMwHZ8E0g,-0.84677
2crVSDqHGYY,-0.46667
2d2vZV87YJM,-0.29472
2D4oIQ4gDhs,0.67213
2d8S1a-FNWU,0.72152
2D9s8LxZbCI,0.82022
2dFApEQtVIg,-0.95392
2dG0hxvQrxw,1.0
2DsFjdzaCnE,-0.95349
2dSJGZ3h7Fs,-0.25
2dtPvek8emE,-1.0
2Du5NlVN1PM,-0.69697
2dWFdH13JCY,-0.85484
2e3O9Lb-UL0,0.88095
2Ei72MwEcPQ,-0.82051
2eip14ZOLro,0.77419
2eRDYQhJk2k,0.76614
2f7sjib2JTk,-1.0
2FEWJJHEmk0,-0.88679
2fG-g0B7rgw,0.79429
2fgL-lol7-0,-0.71429
2FI45BfSefE,-0.77547
2fkDQyPnlyY,1.0
2FMh6iu3DFw,1.0
2FNuG5YZl8g,-0.44444
2FUkfIoJRxM,0.17895
2FwV3RE5PrY,-0.7393
2FZxas03hyA,-1.0
2g1BIDIm6Yw,-0.80923
2gAoQzbaKyA,0.76358
2GciZ6Jm-W0,0.84022
2gkhJ1F46E0,-0.37853
2GmQVm-kLoM,0.7346
2gqqh80yYGc,0.87854
2gRYC67qTpc,0.75758
2GSrnKuFU4U,0.84091
2h-42YsYWZM,-0.7515
2hdDE7XYr30,0.14063
2hgiMIwn69w,0.87771
2HHqcr43qr0,0.31776
2HHtFQEKQ7M,0.21429
2hi1P00EP5I,-0.96154
2hQYVWs-CyI,-0.48772
2HRKjwEVb2o,0.71613
2i4JxWkSYzU,-0.72844
2I5Tnh61SjE,-0.55556
2I8Z8jpWseM,0.86047
2ikpTmhoj20,0.54545
2IksSNiEo2g,-0.63636
2IyjNTFy3Ok,0.84456
2JIpEi8nh4k,-0.47619
2jjbiDkVfhs,-0.64516
2JNs6bC4NbY,-0.65789
2jPRBabfRSc,-0.76271
2jQ1jaIc6xk,0.04
2Jr7aY2g2aI,-0.86348
2K0HwYj9tZE,0.841
2k7ldJnqQrE,-0.54545
2KK-xveGbPg,0.82
2klmuggOElE,-0.14221
2KM8BFJpTns,-1.0
2KmCXupba9Q,0.85185
2lnMfYeRGOo,-0.78049
2lRyVzHdtfo,0.39267
2LtA0-qoHOg,-0.04372
2lUknzBrT1A,-0.93673
2lx9rcfwoY4,-0.94805
2LzuEjNCEas,-0.93939
2m4NboECfGI,0.84507
2MHIcabnjrA,0.23684
2MndwrOzDvo,0.59497
2muBXxULJVI,-0.52381
2myB8yk0JtU,-0.62712
2NPPE6a7mSI,0.01104
2NSjbsWfmNM,-0.59149
2nT73IaTCB8,-0.12025
2nwRiuh1Cug,-0.82114
2Nzm2CidMpM,-0.82128
2OE2Q6BTeRo,-0.0297
2oiU69YG9EE,0.46377
2ovRT2nUzok,0.44681
2OWGdrpRbGI,0.51807
2paQEuIZccQ,-0.67568
2pLFZhBbWn8,0.86371
2pXu7E6DXYU,0.88021
2q9QUwdEL40,0.26316
2QcoOT4xsW8,0.53846
2QgwlrldUps,0.47826
2qKf7UY5B04,0.85495
2QNirdJ0924,0.9366
2R21tWs-qCw,-0.25275
2rEGCDR6wKQ,-0.82436
2ReQkUdNLkk,0.81429
2SBiyLXto9s,0.0
2SFewenM1to,-0.78571
2sLLGsWbCos,-0.84545
2SzhXn-nANE,-0.73913
2t6iPAoJp8c,0.89562
2t7PWa6iF6w,-0.7748
2TV0RZJaaCk,0.71698
2ty2J0s2W0c,-0.5
2U1ViAabtd8,0.54545
2Uc5zbS6yR0,0.79268
2UfsqZ1T6E8,0.85321
2UKwhnup1rc,0.56522
2uLYFwV8Zos,0.07463
2utsjsWOWUA,-0.65672
2UvkcD0DxqY,-0.65812
2UVYp8mVYy4,-0.26316
2UWVO0Trd1c,-0.38346
2v1lBkqE5Pg,-0.74874
2v5RoJKr8SA,0.58333
2VdvfpAYHDo,0.8
2VdwMNexBHc,-0.44444
2VLb0zOUg-E,-0.68376
2VwMC4ZuGng,0.74441
2VX5PBeeWmY,0.83267
2WFjcjXY3yY,-0.87097
2WI3X7CAlJE,-0.69826
2Wkh9eZ3hrY,-0.9
2WLuuCM6Ej0,-0.83801
2wNkuLcBpZc,-0.90909
2wZ2m9CJkDk,-0.81505
2xaF5p86Y84,0.875
2xglDpABkCA,0.0936
2XMNqakiGzw,-0.54722
2xmQXw7ImZo,0.82927
2xsbt3a7K-8,-0.70673
2Y3UWTsmqYg,-0.68
2yBWx0d-s1o,-0.69536
2yCMy4xpF6U,-0.50502
2YFeugDqrKs,1.0
2YmDv2GsEvA,-0.71208
2YUzH6gJ8aw,-0.69231
2yvAD8DYReQ,-0.73281
2YvxjfoOJLw,-0.83843
2z3s2pERqWQ,-0.88235
2z7o3sRxA5g,-0.90179
2ZfGBGmEpRQ,-0.22293
2ZHafA6dVBs,-0.0101
2ZHZc-kcyQQ,0.10526
2ZJzEZ8Y-rM,-0.26857
2zkOhEZUueo,-0.56436
2zLfBRgeFFo,0.80398
2ZlU8ZaR1jg,-0.82888
3-KMXng5Cp0,-0.34639
307yHEsgWjE,-0.55319
30E5P12DVEk,-0.4
30KqiZ85cIc,0.88728
30wR8ka6qi0,-0.83133
30xLg2HHg8Q,-0.85263
3187VaIHkMY,0.86957
31bC1IIQiPk,-0.83333
31CcclqEiZw,-0.23164
31k4Lg794Pk,-0.71191
31MI5c7LYSU,0.69547
32KTKXZZ-BI,-0.28188
32V-e7saq60,0.71464
32WheBYnXEI,-0.68132
32Z0hXOzPTs,-0.79894
32ZWX7-i6i4,0.2766
33GHCqYC-is,-0.875
33Kq5v1fsQI,0.04651
33MVxLYnhBc,0.53333
33QdTOyXz3w,-0.59748
33tCzNVquCk,-0.5
34j8dSzn3y8,-0.52174
34oI0yd5YUc,-0.74132
34xJAp02Q4s,-0.61404
34XP9U8flCo,-0.64706
35aT9ikWcqc,-0.77454
35eEljsSQfc,0.6092
35t9F0KP4YE,0.87786
35XGfnmTm8E,-0.32296
35Y5KZ7ol7M,0.23077
369rUednxcc,-0.88336
